grid_lat,grid_lon,pcell_cid,pcell_freq,scell_1_cid,scell_1_freq,scell_2_cid,scell_2_freq,scell_3_cid,scell_3_freq,seconds_since_epoch,throughput,past_seconds_since_rrc_request,pcell_rsrp,pcell_rsrq,scell_1_rsrp,scell_1_rsrq,scell_2_rsrp,scell_2_rsrq,scell_3_rsrp,scell_3_rsrq,pcell_tbs,scell_1_tbs,scell_2_tbs,scell_3_tbs,pcell_max_nRB,scell_1_max_nRB,scell_2_max_nRB,scell_3_max_nRB,pcell_sum_nRB,scell_1_sum_nRB,scell_2_sum_nRB,scell_3_sum_nRB,pcell_mcs,scell_1_mcs,scell_2_mcs,scell_3_mcs,pcell_snr,scell_1_snr,scell_2_snr,scell_3_snr
None,None,32,1075,None,None,None,None,None,None,1584065177,16.276768,0,-92.5,-18.375,None,None,None,None,None,None,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,None,None,None,None,14.6000003815,None,None,None
None,None,32,1075,None,None,None,None,None,None,1584065178,11.990976,1,-94.3125,-10.125,None,None,None,None,None,None,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,None,None,None,None,13.3999996185,None,None,None
None,None,32,1075,None,None,None,None,None,None,1584065179,6.619296,0,-92.0625,-14.25,None,None,None,None,None,None,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,None,None,None,None,12.8999996185,None,None,None
None,None,32,1075,32,2350,32,5230,None,None,1584065180,6.23808,1,-101.625,-19.875,-108.25,-23.0,-102.875,-22.9375,None,None,0.054624,0.0,0.006992,0.0,13,0,34,0,219,0,34,0,10.3114754098,None,12.0,None,12.6999998093,-6.40000009537,-10.5,None
None,None,8,5230,None,None,None,None,None,None,1584065181,10.62784,0,-92.5,-9.8125,None,None,None,None,None,None,0.002472,0.0,0.0,0.0,33,0,0,0,109,0,0,0,3.58333333333,None,None,None,3.0,None,None,None
None,None,8,5230,8,2350,8,2100,None,None,1584065182,6.249632,1,-98.5625,-10.5625,-104.0625,-13.0625,-105.4375,-15.3125,None,None,0.037912,0.0,0.0,0.0,27,0,0,0,310,0,0,0,7.06153846154,None,None,None,4.59999990463,6.09999990463,5.59999990463,None
None,None,8,5230,8,2350,8,2100,None,None,1584065183,12.672544,2,-98.5625,-10.5625,-104.0625,-13.0625,-105.4375,-15.3125,None,None,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,None,None,None,None,4.59999990463,6.09999990463,5.59999990463,None
None,None,8,5230,8,2350,None,None,None,None,1584065184,21.31344,3,-98.125,-9.5,-109.875,-12.6875,None,None,None,None,0.022512,0.0,0.0,0.0,50,0,0,0,156,0,0,0,6.2,None,None,None,5.5,None,None,None
None,None,8,5230,8,2350,8,2100,None,None,1584065185,10.985952,4,-93.5,-9.125,-97.6875,-13.75,-97.1875,-14.5625,None,None,1.7632,0.0,0.280544,0.0,50,0,50,0,7092,0,1111,0,13.4821428571,None,14.5853658537,None,6.59999990463,4.69999980927,2.70000004768,None
None,None,8,5230,8,2350,8,2100,None,None,1584065186,15.086912,5,-94.5,-12.9375,-97.8125,-13.8125,-97.9375,-14.375,None,None,17.421224,1.100592,7.969088,0.0,50,44,50,0,66240,5188,26476,0,14.9831278391,13.3209459459,16.6511627907,None,7.19999980927,2.70000004768,4.59999990463,None
40.4225,-86.905,8,5230,8,2350,8,2100,None,None,1584065187,23.069344,6,-96.6875,-13.5625,-97.0,-14.5,-95.125,-13.0625,None,None,20.931072,5.722664,14.613712,0.0,50,50,50,0,81945,22154,40138,0,14.7763012182,15.0750915751,18.6142709411,None,4.90000009537,2.90000009537,4.80000019073,None
40.42263848,-86.90516519,8,5230,8,2350,8,2100,None,None,1584065188,27.251168,7,-99.25,-14.0625,-99.1875,-14.0625,-97.8125,-13.125,None,None,12.988384,12.357688,9.232896,0.0,50,50,50,0,59482,47091,43987,0,13.4944168734,15.1932299013,13.1883780332,None,4.19999980927,3.20000004768,4.69999980927,None
40.42263855,-86.90516523,8,5230,8,2350,8,2100,None,None,1584065189,34.840832,8,-96.875,-14.625,-100.25,-14.25,-100.5625,-13.5,None,None,13.054376,3.72956,7.90456,0.0,50,50,50,0,50436,14109,34866,0,14.8742559524,15.7524916944,14.6055684455,None,3.5,3.29999995232,5.30000019073,None
