grid_lat,grid_lon,pcell_cid,pcell_freq,scell_1_cid,scell_1_freq,scell_2_cid,scell_2_freq,scell_3_cid,scell_3_freq,seconds_since_epoch,throughput,past_seconds_since_rrc_request,pcell_rsrp,pcell_rsrq,scell_1_rsrp,scell_1_rsrq,scell_2_rsrp,scell_2_rsrq,scell_3_rsrp,scell_3_rsrq,pcell_tbs,scell_1_tbs,scell_2_tbs,scell_3_tbs,pcell_max_nRB,scell_1_max_nRB,scell_2_max_nRB,scell_3_max_nRB,pcell_sum_nRB,scell_1_sum_nRB,scell_2_sum_nRB,scell_3_sum_nRB,pcell_mcs,scell_1_mcs,scell_2_mcs,scell_3_mcs,pcell_snr,scell_1_snr,scell_2_snr,scell_3_snr
None,None,8,5230,177,67086,8,66586,None,None,1584063765,13.030656,0,-94.125,-11.4375,-125.5,-15.3125,-96.375,-11.5,None,None,0.01448,0.0,0.0,0.0,15,0,0,0,99,0,0,0,4.66666666667,None,None,None,4.0,None,6.30000019073,None
None,None,8,5230,177,67086,8,66586,None,None,1584063766,14.463104,1,-94.0,-11.125,-126.375,-16.6875,-99.1875,-12.1875,None,None,0.026608,0.0,0.0,0.0,33,0,0,0,105,0,0,0,6.30769230769,None,None,None,7.90000009537,None,7.30000019073,None
None,None,8,5230,177,67086,8,66586,None,None,1584063767,13.411872,2,-94.0,-11.125,-126.375,-16.6875,-99.1875,-12.1875,None,None,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,None,None,None,None,7.90000009537,None,7.30000019073,None
None,None,8,5230,None,None,None,None,None,None,1584063768,10.951296,3,None,None,None,None,None,None,None,None,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,None,None,None,None,None,None,None,None
None,None,8,5230,177,67086,8,66836,None,None,1584063769,11.748384,0,-93.75,-7.625,-127.6875,-19.3125,-97.5,-11.5625,None,None,0.013088,0.0,0.0,0.0,33,0,0,0,214,0,0,0,3.625,None,None,None,7.0,None,3.70000004768,None
None,None,8,5230,177,67086,8,66836,None,None,1584063770,8.848832,1,-93.75,-7.625,-127.6875,-19.3125,-97.5,-11.5625,None,None,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,None,None,None,None,7.0,None,3.70000004768,None
None,None,8,5230,177,67086,8,66836,None,None,1584063771,18.702688,2,-93.875,-12.125,-127.5625,-19.1875,-98.1875,-11.375,None,None,0.045552,0.0,0.0,0.0,15,0,0,0,210,0,0,0,10.5,None,None,None,9.10000038147,None,None,None
40.4225356,-86.9049539,8,5230,177,67086,8,66836,None,None,1584063772,21.163264,3,-93.9375,-14.0,-127.625,-18.6875,-99.8125,-15.25,None,None,14.466784,0.0,10.771584,0.0,50,0,50,0,34977,0,33894,0,20.306763285,None,17.1139240506,None,7.40000009537,None,3.90000009537,None
40.42263142,-86.90516875,8,5230,177,67086,8,66836,None,None,1584063774,8.652448,5,-95.125,-13.6875,-127.5,-18.375,-101.6875,-13.9375,None,None,15.772616,0.0,14.485696,0.0,50,0,50,0,42018,0,47782,0,19.5091836735,None,16.249343832,None,3.5,None,6.09999990463,None
40.4225,-86.905,8,5230,177,67086,8,66836,None,None,1584063775,15.953312,6,-95.0,-14.875,-132.1875,-23.25,-100.625,-14.4375,None,None,17.919856,0.0,10.74836,0.0,50,0,50,0,45704,0,35086,0,19.9264555669,None,16.5013100437,None,6.0,None,6.59999990463,None
40.4225,-86.905,8,5230,177,67086,8,66836,None,None,1584063776,13.966368,7,-95.0,-15.0,-127.9375,-19.375,-100.875,-13.8125,None,None,15.874776,0.0,8.969488,0.0,50,0,50,0,41357,0,32427,0,19.7066069429,None,15.8461538462,None,4.59999990463,None,5.40000009537,None
40.42263158,-86.90516812,8,5230,177,67086,8,66836,None,None,1584063777,28.672064,8,-95.6875,-13.0625,-126.625,-17.625,-100.0625,-14.375,None,None,18.046152,0.0,16.627664,0.0,50,0,50,0,43177,0,53718,0,20.6941297631,None,16.4814253222,None,5.0,None,6.30000019073,None
40.42263155,-86.90516815,8,5230,177,67086,8,66836,None,None,1584063778,21.128608,9,-96.3125,-15.0625,-132.0625,-21.75,-100.3125,-13.75,None,None,8.870464,0.0,8.656512,0.0,50,0,50,0,24062,0,27462,0,19.8362694301,None,17.0187296417,None,4.0,None,5.69999980927,None
