grid_lat,grid_lon,pcell_cid,pcell_freq,scell_1_cid,scell_1_freq,scell_2_cid,scell_2_freq,scell_3_cid,scell_3_freq,seconds_since_epoch,throughput,past_seconds_since_rrc_request,pcell_rsrp,pcell_rsrq,scell_1_rsrp,scell_1_rsrq,scell_2_rsrp,scell_2_rsrq,scell_3_rsrp,scell_3_rsrq,pcell_tbs,scell_1_tbs,scell_2_tbs,scell_3_tbs,pcell_max_nRB,scell_1_max_nRB,scell_2_max_nRB,scell_3_max_nRB,pcell_sum_nRB,scell_1_sum_nRB,scell_2_sum_nRB,scell_3_sum_nRB,pcell_mcs,scell_1_mcs,scell_2_mcs,scell_3_mcs,pcell_snr,scell_1_snr,scell_2_snr,scell_3_snr
None,None,7,66586,None,None,None,None,None,None,1584122919,35.997184,9,None,None,None,None,None,None,None,None,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,None,None,None,None,None,None,None,None
None,None,7,66586,None,None,None,None,None,None,1584122920,47.30416,10,None,None,None,None,None,None,None,None,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,None,None,None,None,None,None,None,None
None,None,7,66586,None,None,None,None,None,None,1584122921,44.477024,11,None,None,None,None,None,None,None,None,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,None,None,None,None,None,None,None,None
None,None,7,66586,None,None,None,None,None,None,1584122922,48.40288,12,None,None,None,None,None,None,None,None,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,None,None,None,None,None,None,None,None
None,None,7,66586,None,None,None,None,None,None,1584122923,48.3672,13,None,None,None,None,None,None,None,None,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,None,None,None,None,None,None,None,None
None,None,7,66586,None,None,None,None,None,None,1584122924,50.541888,14,None,None,None,None,None,None,None,None,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,None,None,None,None,None,None,None,None
None,None,7,66586,None,None,None,None,None,None,1584122925,51.836224,15,None,None,None,None,None,None,None,None,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,None,None,None,None,None,None,None,None
None,None,7,66586,None,None,None,None,None,None,1584122926,46.566112,16,None,None,None,None,None,None,None,None,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,None,None,None,None,None,None,None,None
None,None,7,66586,None,None,None,None,None,None,1584122927,49.003584,17,None,None,None,None,None,None,None,None,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,None,None,None,None,None,None,None,None
None,None,7,66586,None,None,None,None,None,None,1584122928,43.20448,18,None,None,None,None,None,None,None,None,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,None,None,None,None,None,None,None,None
None,None,7,66586,None,None,None,None,None,None,1584122929,23.658496,19,None,None,None,None,None,None,None,None,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,None,None,None,None,None,None,None,None
None,None,7,66586,None,None,None,None,None,None,1584122930,36.865696,0,-93.0,-8.0625,None,None,None,None,None,None,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,None,None,None,None,19.2000007629,None,None,None
None,None,7,66586,177,67086,32,1075,None,None,1584122931,48.68176,1,-92.25,-9.8125,-132.875,-22.9375,-105.625,-14.625,None,None,0.046056,0.0,0.0,0.0,15,0,0,0,141,0,0,0,11.9375,None,None,None,17.2000007629,None,None,None
None,None,7,66586,None,None,None,None,None,None,1584122932,37.278304,2,None,None,None,None,None,None,None,None,0.001,0.0,0.0,0.0,27,0,0,0,54,0,0,0,9.33333333333,None,None,None,None,None,None,None
None,None,7,66836,None,None,None,None,None,None,1584122933,39.865952,0,-86.125,-5.8125,None,None,None,None,None,None,0.002848,0.0,0.0,0.0,41,0,0,0,143,0,0,0,5.0,None,None,None,24.3999996185,None,None,None
40.42808639,-86.90008838,7,66836,177,67086,177,2561,None,None,1584122934,54.369088,1,-88.625,-13.25,-132.5625,-21.9375,-118.9375,-20.5625,None,None,753.460696,0.0,14.604392,0.0,50,0,41,0,1257296,0,111213,0,19.9546062947,None,7.88229981939,None,20.1000003815,-9.0,1.89999997616,None
