grid_lat,grid_lon,pcell_cid,pcell_freq,scell_1_cid,scell_1_freq,scell_2_cid,scell_2_freq,scell_3_cid,scell_3_freq,seconds_since_epoch,throughput,past_seconds_since_rrc_request,pcell_rsrp,pcell_rsrq,scell_1_rsrp,scell_1_rsrq,scell_2_rsrp,scell_2_rsrq,scell_3_rsrp,scell_3_rsrq,pcell_tbs,scell_1_tbs,scell_2_tbs,scell_3_tbs,pcell_max_nRB,scell_1_max_nRB,scell_2_max_nRB,scell_3_max_nRB,pcell_sum_nRB,scell_1_sum_nRB,scell_2_sum_nRB,scell_3_sum_nRB,pcell_mcs,scell_1_mcs,scell_2_mcs,scell_3_mcs,pcell_snr,scell_1_snr,scell_2_snr,scell_3_snr
None,None,316,66836,179,2561,None,None,None,None,1584131779,94.875296,0,-82.4375,-7.9375,-111.0,-9.9375,None,None,None,None,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,None,None,None,None,17.0,None,None,None
None,None,316,66836,None,None,None,None,None,None,1584131780,87.581696,1,-78.375,-8.5,None,None,None,None,None,None,0.000416,0.0,0.0,0.0,3,0,0,0,3,0,0,0,4.0,None,None,None,14.5,None,None,None
None,None,316,66836,None,None,None,None,None,None,1584131781,78.914432,2,-79.25,-7.375,None,None,None,None,None,None,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,None,None,None,None,13.6000003815,None,None,None
None,None,316,66836,179,67086,None,None,None,None,1584131782,89.384352,0,-80.25,-7.5625,-121.5,-14.5625,None,None,None,None,0.012984,0.0,0.0,0.0,12,0,0,0,81,0,0,0,6.0,None,None,None,14.0,-2.0,None,None
None,None,316,5230,None,None,None,None,None,None,1584131783,84.451104,0,None,None,None,None,None,None,None,None,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,None,None,None,None,None,None,None,None
None,None,316,2350,None,None,316,5230,None,None,1584131784,86.886944,1,-80.5,-9.875,None,None,-79.5,-9.25,None,None,0.002096,0.0,0.0,0.0,6,0,0,0,18,0,0,0,7.0,None,None,None,12.3999996185,None,None,None
None,None,316,2350,316,2100,316,5230,None,None,1584131785,79.436992,2,-80.6875,-8.3125,-79.125,-15.125,-79.1875,-7.5625,None,None,0.006952,0.0,0.0,0.0,41,0,0,0,170,0,0,0,7.375,None,None,None,10.6000003815,5.90000009537,15.5,None
None,None,316,2350,316,2100,316,5230,None,None,1584131786,91.683584,3,-79.0625,-10.0625,-85.4375,-13.8125,-82.875,-10.1875,None,None,0.090576,0.0,0.0,0.0,35,0,0,0,298,0,0,0,10.4848484848,None,None,None,12.3999996185,None,None,None
40.42362536,-86.91593193,316,2350,316,2100,316,5230,None,None,1584131787,81.081344,4,-81.3125,-16.6875,-85.3125,-16.25,-81.875,-8.375,None,None,23.559992,17.08552,19.777792,0.0,50,50,50,0,39915,45413,44223,0,20.4856614246,19.516864175,21.5027522936,None,14.6000003815,13.6999998093,19.0,None
40.4235,-86.9155,316,2350,316,2100,316,5230,None,None,1584131788,88.407808,5,-78.6875,-17.125,-80.75,-16.75,-83.0,-10.9375,None,None,35.160768,25.536408,34.564608,0.0,50,50,50,0,69635,69891,76819,0,16.6394316163,18.674904943,18.118428654,None,16.6000003815,17.0,15.3000001907,None
