grid_lat,grid_lon,pcell_cid,pcell_freq,scell_1_cid,scell_1_freq,scell_2_cid,scell_2_freq,scell_3_cid,scell_3_freq,seconds_since_epoch,throughput,past_seconds_since_rrc_request,pcell_rsrp,pcell_rsrq,scell_1_rsrp,scell_1_rsrq,scell_2_rsrp,scell_2_rsrq,scell_3_rsrp,scell_3_rsrq,pcell_tbs,scell_1_tbs,scell_2_tbs,scell_3_tbs,pcell_max_nRB,scell_1_max_nRB,scell_2_max_nRB,scell_3_max_nRB,pcell_sum_nRB,scell_1_sum_nRB,scell_2_sum_nRB,scell_3_sum_nRB,pcell_mcs,scell_1_mcs,scell_2_mcs,scell_3_mcs,pcell_snr,scell_1_snr,scell_2_snr,scell_3_snr
None,None,316,66836,316,66586,None,None,None,None,1584129364,52.494464,0,-84.875,-10.0625,-82.0,-8.75,None,None,None,None,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,None,None,None,None,9.39999961853,None,None,None
None,None,316,66836,316,66586,None,None,None,None,1584129365,36.93648,1,-84.6875,-10.125,-81.875,-10.625,None,None,None,None,0.031896,0.0,0.0,0.0,35,0,0,0,112,0,0,0,9.41666666667,None,None,None,10.5,None,None,None
None,None,316,66836,316,66586,None,None,None,None,1584129366,53.343904,2,-84.4375,-8.625,-81.6875,-11.4375,None,None,None,None,0.015504,0.0,0.0,0.0,9,0,0,0,53,0,0,0,7.16666666667,None,None,None,14.6000003815,None,None,None
None,None,316,1075,None,None,None,None,None,None,1584129367,65.261152,0,-73.75,-5.6875,None,None,None,None,None,None,0.003464,0.0,0.0,0.0,25,0,0,0,150,0,0,0,6.58333333333,None,None,None,18.7000007629,None,None,None
None,None,316,66586,177,2561,None,None,None,None,1584129368,62.765504,1,-81.75,-13.375,-115.8125,-30.0,None,None,None,None,0.007736,0.0,0.0,0.0,32,0,0,0,92,0,0,0,5.0,None,None,None,11.3999996185,-1.20000004768,None,None
None,None,316,66586,177,2561,None,None,None,None,1584129369,54.31488,2,-80.6875,-9.6875,-113.625,-30.0,None,None,None,None,0.064168,0.0,0.0,0.0,44,0,0,0,257,0,0,0,13.8974358974,None,None,None,23.1000003815,0.40000000596,None,None
None,None,316,66586,316,66836,None,None,None,None,1584129370,43.570752,3,-80.8125,-10.1875,-87.625,-7.9375,None,None,None,None,0.06276,0.0,0.0,0.0,12,0,0,0,137,0,0,0,9.93548387097,None,None,None,17.2000007629,8.60000038147,None,None
40.4231695,-86.9165556,316,66586,316,66836,None,None,None,None,1584129371,61.123264,4,-81.8125,-15.625,-87.5,-16.0,None,None,None,None,32.1568,22.815296,0.0,0.0,50,50,0,0,65833,67301,0,0,16.5936546675,18.0967528164,None,None,20.2999992371,12.6999998093,None,None
40.4231695,-86.9165556,316,66586,316,66836,None,None,None,None,1584129372,72.063008,5,-80.1875,-13.375,-87.3125,-15.375,None,None,None,None,40.520408,30.182072,0.0,0.0,50,50,0,0,85879,85898,0,0,15.5037756203,18.1818675353,None,None,16.5,17.1000003815,None,None
40.4231695,-86.9165556,316,66586,316,66836,None,None,None,None,1584129373,63.749376,6,-80.3125,-16.5,-85.875,-16.6875,None,None,None,None,40.388248,32.983784,0.0,0.0,50,50,0,0,87993,84308,0,0,15.1151003168,19.8059227922,None,None,11.8000001907,18.7000007629,None,None
